ipid;name;lange_bahntunnel;1_inbetr_jahr_bahntunnel;tunnelsystem;bemerkung;linie;km_go;kanton;geopos
11000149.0;Wylerfeldtunnel;300.0;2022;1-Röhre / 1-Spur;;450;103.593;Bern;46.9661709090135, 7.457375164197686
1664151.0;Oberer Schächlitunnel;45.0;1875;1-Röhre / 1-Spur;;460;69.429;Luzern;47.019106883158734, 8.068573702296195
1664159.0;Unterer Schächlitunnel;95.0;1875;1-Röhre / 1-Spur;;460;69.551;Luzern;47.02035684884459, 8.068342618699988
450485.0;Werthensteintunnel;30.0;1875;1-Röhre / 1-Spur;;460;75.916;Luzern;47.05618693485596, 8.09931055928165
124715.0;Zimmereggtunnel;1134.0;1875;1-Röhre / 1-Spur;;460;90.855;Luzern;47.05864103479889, 8.275564296761987
82714.0;Schönheimtunnel;199.0;1896;1-Röhre / 2-Spuren;;500;93.654;Luzern;47.044781692567874, 8.30077051461991
2013544.0;Kannenfeldtunnel;800.0;1901;1-Röhre / 2-Spuren;;510;138.88;Basel-Stadt;47.561422959248546, 7.569401537496271
124555.0;Schiltenneunetunnel;166.0;1897;1-Röhre / 1-Spur;;570;6.544;Luzern;47.05067809498864, 8.342877180397078
124576.0;Seeburgtunnel;113.0;1897;1-Röhre / 1-Spur;;570;7.043;Luzern;47.046492244724654, 8.345386468075382
124595.0;Lerchenbühltunnel;560.0;1897;1-Röhre / 1-Spur;;570;8.698;Luzern;47.038932629502966, 8.36215294001939
124615.0;Lettentunnel LU;37.0;1897;1-Röhre / 1-Spur;;570;11.956;Luzern;47.05679726140032, 8.395892139788504
10977112.0;Galleria Svincolo A2 Biasca;260.0;2016;1-Röhre / 2-Spuren;;595;159.916;Ticino;46.35649236924618, 8.958112041832976
11042750.0;Galleria artificiale Giustizia;106.0;2016;1-Röhre / 2-Spuren;;595;163.608;Ticino;46.32668691738961, 8.97943892120645
